passage,reading_level
Corduroy is a bear who once lived in the toy department of a big store. Day after day he waited with all the other animals and dolls for someone to come along and take him home.,Elementary
"The store was always filled with shoppers buying all sorts of things, but no one ever seemed to want a small bear in green overalls.",Elementary
Then one morning a little girl stopped and looked straight into Corduroy's bright eyes.,Elementary
"""Oh, Mommy!"" she said. ""Look! There's the very bear I've always wanted.""",Elementary
"""Not today, dear."" Her mother sighed. ""I've spent too much already. Besides, he doesn't look new. He's lost the button to one of his shoulder straps.""",Elementary
Corduroy watched them sadly as they walked away.,Elementary
"""I didn't know I'd lost a button,"" he said to himself. ""Tonight I'll go and see if I can find it.""",Elementary
"Late that evening, when all the shoppers had gone and the doors were shut and locked, Corduroy climbed carefully down from his shelf and began searching everywhere on the floor for his lost button.",Elementary
Suddenly he felt the floor moving under him! Quite by accident he had stepped onto an escalator - and up he went!,Elementary
"""Could this be a mountain?"" he wondered. ""I think I've always wanted to climb a mountain.",Elementary
"He stepped off the escalator as it reached the next floor, and there, before his eyes, was the most amazing sight - tables and chairs and lamps and sofas, and rows and rows of beds. ""This must be a palace!"" Corduroy gasped. ""I guess I've always wanted to live in a palace.""",Elementary
He wandered around admiring the furniture.,Elementary
"""This must be a bed,"" he said. ""I've always wanted to sleep in a bed."" And up he crawled onto a large, thick mattress.",Elementary
All at once he saw something small and round.,Elementary
"""Why, here's my button!"" he cried. And he tried to pick it up. But, like all the other buttons on the mattress, it was tied down tight.",Elementary
"He yanked a pulled with both paws until POP! Off came the button - and off the mattress Corduroy toppled, bang into a tall floor lamp. Over it fell with a crash!",Elementary
"Corduroy didn't know it, but there was someone else awake in the store. The night watchman was going his rounds on the floor above. When he heard the crash he came dashing down the escalator.",Elementary
"""Now who in the world did that!"" he exclaimed. ""Somebody must be hiding around here!""",Elementary
He flashed his light under and over sofas and beds until he came to the biggest bed of all. And there he saw two fuzzy brown ears sticking up from under the cover.,Elementary
"""Hello!"" he said. ""How did you get upstairs?""",Elementary
The watchman tucked Corduroy under his arm and carried him down the escalator and set him on the shelf in the toy department with the other animals and dolls.,Elementary
"Corduroy was just waking up when the first customers came into the store in the morning. And there, looking at him with a wide, warm smile, was the same little girl he'd seen only the day before.",Elementary
"""I'm Lisa,"" she said, ""and you're going to be my very own bear. Last night I counted what I've saved in my piggy bank and my mother said I could bring you home.""",Elementary
"""Shall I put him in a box for you?"" the saleslady asked.",Elementary
"""Oh, no thank you,"" Lisa answered. And she carried Corduroy home in her arms.",Elementary
"She ran all the way up four flights of stairs, into her family's apartment, and straight to her own room.",Elementary
"Corduroy blinked. There was a chair and a chest of drawers, and alongside a girl-sized bed stood a little bed just the right size for him. The room was small, nothing like that enormous palace in the department store.",Elementary
"""This must be home,"" he said. ""I know I've always wanted a home!""",Elementary
Lisa sat down with Corduroy on her lap and began to sew a button on his overalls.,Elementary
"""I like you the way you are,"" she said, ""but you'll be more comfortable with your shoulder strap fastened.""",Elementary
"""You must be a friend,"" said Corduroy. ""I've always wanted a friend.""",Elementary
"""Me too!"" said Lisa, and gave him a big hug.",Elementary
"One cold rainy day when my father was a little boy, he met an old alley cat on his street. The cat was very drippy and uncomfortable so my father said, ""Wouldn't you like to come home with me?""",Elementary
"This surprised the cat—she had never before met anyone who cared about old alley cats—but she said, ""I'd be very much obliged if I could sit by a warm furnace, and perhaps have a saucer of milk.""",Elementary
"""We have a very nice furnace to sit by,"" said my father, ""and I'm sure my mother has an extra saucer of milk.""",Elementary
"My father and the cat became good friends but my father's mother was very upset about the cat. She hated cats, particularly ugly old alley cats. ""Elmer Elevator,"" she said to my father, ""if you think I'm going to give that cat a saucer of milk, you're very wrong. Once you start feeding stray alley cats you might as well expect to feed every stray in town, and I am not going to do it!""",Elementary
"This made my father very sad, and he apologized to the cat because his mother had been so rude. He told the cat to stay anyway, and that somehow he would bring her a saucer of milk each day. My father fed the cat for three weeks, but one day his mother found the cat's saucer in the cellar and she was extremely angry. She whipped my father and threw the cat out the door, but later on my father sneaked out and found the cat.",Elementary
"Together they went for a walk in the park and tried to think of nice things to talk about. My father said, ""When I grow up I'm going to have an airplane. Wouldn't it be wonderful to fly just anywhere you might think of!""",Elementary
"""Would you like to fly very, very much?"" asked the cat.",Elementary
"""I certainly would. I'd do anything if I could fly.""",Elementary
"""Well,"" said the cat, ""If you'd really like to fly that much, I think I know of a sort of a way you might get to fly while you're still a little boy.""",Elementary
"""You mean you know where I could get an airplane?""",Elementary
"""Well, not exactly an airplane, but something even better. As you can see, I'm an old cat now, but in my younger days I was quite a traveler. My traveling days are over but last spring I took just one more trip and sailed to the Island of Tangerina, stopping at the port of Cranberry. Well, it just so happened that I missed the boat, and while waiting for the next I thought I'd look around a bit. I was particularly interested in a place called Wild Island, which we had passed on our way to Tangerina. Wild Island and Tangerina are joined together by a long string of rocks, but people never go to Wild Island because it's mostly jungle and inhabited by very wild animals. So, I decided to go across the rocks and explore it for myself. It certainly is an interesting place, but I saw something there that made me want to weep.""",Elementary
"""Wild Island is practically cut in two by a very wide and muddy river,"" continued the cat. """,Elementary
"""But what does all this have to do with airplanes?"" asked my father, who thought the cat was taking an awfully long time to explain.",Elementary
"""Be patient, Elmer,"" said the cat, and she went on with the story. ""One day about four months before I arrived on Wild Island a baby dragon fell from a low-flying cloud onto the bank of the river. He was too young to fly very well, and besides, he had bruised one wing quite badly, so he couldn't get back to his cloud.",Elementary
"The animals found him soon afterwards and everybody said, 'Why, this is just exactly what we've needed all these years!' They tied a big rope around his neck and waited for the wing to get well. This was going to end all their crossing-the-river troubles.""",Elementary
"""I've never seen a dragon,"" said my father. ""Did you see him? How big is he?""",Elementary
"""Oh, yes, indeed I saw the dragon. In fact, we became great friends,"" said the cat. ""I used to hide in the bushes and talk to him when nobody was around. He's not a very big dragon, about the size of a large black bear, although I imagine he's grown quite a bit since I left. He's got a long tail and yellow and blue stripes. His horn and eyes and the bottoms of his feet are bright red, and he has gold-colored wings.""",Elementary
"""Oh, how wonderful!"" said my father. ""What did the animals do with him when his wing got well?""",Elementary
"""Anyway, when you were talking about airplanes, you gave me a good idea. Now, I'm quite sure that if you were able to rescue the dragon, which wouldn't be the least bit easy, he'd let you ride him most anywhere, provided you were nice to him, of course. How about trying it?""",Elementary
"""Oh, I'd love to,"" said my father, and he was so angry at his mother for being rude to the cat that he didn't feel the least bit sad about running away from home for a while.",Elementary
"That very afternoon my father and the cat went down to the docks to see about ships going to the Island of Tangerina. They found out that a ship would be sailing the next week, so right away they started planning for the rescue of the dragon. The cat was a great help in suggesting things for my father to take with him, and she told him everything she knew about Wild Island. Of course, she was too old to go along.",Elementary
"Everything had to be kept very secret, so when they found or bought anything to take on the trip they hid it behind a rock in the park. The night before my father sailed he borrowed his father's knapsack and he and the cat packed everything very carefully. He took chewing gum, two dozen pink lollipops, a package of rubber bands, black rubber boots, a compass, a tooth brush and a tube of tooth paste, six magnifying glasses, a very sharp jackknife, a comb and a hairbrush, seven hair ribbons of different colors, an empty grain bag with a label saying ""Cranberry,"" some clean clothes, and enough food to last my father while he was on the ship. He couldn't live on mice, so he took twenty-five peanut butter and jelly sandwiches and six apples, because that's all the apples he could find in the pantry.",Elementary
"When everything was packed my father and the cat went down to the docks to the ship. A night watchman was on duty, so while the cat made loud queer noises to distract his attention, my father ran over the gang-plank onto the ship. He went down into the hold and hid among some bags of wheat. The ship sailed early the next morning.",Elementary
"My father hid in the hold for six days and nights. Twice he was nearly caught when the ship stopped to take on more cargo. But at last he heard a sailor say that the next port would be Cranberry and that they'd be unloading the wheat there. My father knew that the sailors would send him home if they caught him, so he looked in his knapsack and took out a rubber band and the empty grain bag with the label saying ""Cranberry."" At the last moment my father got inside the bag, knapsack and all, folded the top of the bag inside, and put the rubber band around the top. He didn't look just exactly like the other bags but it was the best he could do.",Elementary
"Soon the sailors came to unload. They lowered a big net into the hold and began moving the bags of wheat. Suddenly one sailor yelled, ""Great Scott! This is the queerest bag of wheat I've ever seen! It's all lumpy-like, but the label says it's to go to Cranberry.""",Elementary
"The other sailors looked at the bag too, and my father, who was in the bag, of course, tried even harder to look like a bag of wheat. Then another sailor felt the bag and he just happened to get hold of my father's elbow. ""I know what this is,"" he said. ""This is a bag of dried corn on the cob,"" and he dumped my father into the big net along with the bags of wheat.",Elementary
"This all happened in the late afternoon, so late that the merchant in Cranberry who had ordered the wheat didn't count his bags until the next morning. (He was a very punctual man, and never late for dinner.) The sailors told the captain, and the captain wrote down on a piece of paper, that they had delivered one hundred and sixty bags of wheat and one bag of dried corn on the cob. They left the piece of paper for the merchant and sailed away that evening.",Elementary
"My father heard later that the merchant spent the whole next day counting and recounting the bags and feeling each one trying to find the bag of dried corn on the cob. He never found it because as soon as it was dark my father climbed out of the bag, folded it up and put it back in his knapsack. He walked along the shore to a nice sandy place and lay down to sleep.",Elementary
"My father was very hungry when he woke up the next morning. Just as he was looking to see if he had anything left to eat, something hit him on the head. It was a tangerine. He had been sleeping right under a tree full of big, fat tangerines. And then he remembered that this was the Island of Tangerina. Tangerine trees grew wild everywhere. My father picked as many as he had room for, which was thirtyone, and started off to find Wild Island.",Elementary
"He walked and walked and walked along the shore, looking for the rocks that joined the two islands. He walked all day, and once when he met a fisherman and asked him about Wild Island, the fisherman began to shake and couldn't talk for a long while. It scared him that much, just thinking about it. Finally he said, ""Many people have tried to explore Wild Island, but not one has come back alive. We think they were eaten by the wild animals."" This didn't bother my father. He kept walking and slept on the beach again that night.",Elementary
"It was beautifully clear the next day, and way down the shore my father could see a long line of rocks leading out into the ocean, and way, way out at the end he could just see a tiny patch of green. He quickly ate seven tangerines and started down the beach.",Elementary
"It was almost dark when he came to the rocks, but there, way out in the ocean, was the patch of green. He sat down and rested a while, remembering that the cat had said, ""If you can, go out to the island at night, because then the wild animals won't see you coming along the rocks and you can hide when you get there."" So my father picked seven more tangerines, put on his black rubber boots, and waited for dark.",Elementary
"It was a very black night and my father could hardly see the rocks ahead of him. Sometimes they were quite high and sometimes the waves almost covered them, and they were slippery and hard to walk on. Sometimes the rocks were far apart and my father had to get a running start and leap from one to the next.",Elementary
"After a while he began to hear a rumbling noise. It grew louder and louder as he got nearer to the island. At last it seemed as if he was right on top of the noise, and he was. He had jumped from a rock onto the back of a small whale who was fast asleep and cuddled up between two rocks. The whale was snoring and making more noise than a steam shovel, so it never heard my father say, ""Oh, I didn't know that was you!"" And it never knew my father had jumped on its back by mistake.",Elementary
"For seven hours my father climbed and slipped and leapt from rock to rock, but while it was still dark he finally reached the very last rock and stepped off onto Wild Island.",Elementary
"The jungle began just beyond a narrow strip of beach; thick, dark, damp, scary jungle. My father hardly knew where to go, so he crawled under a wahoo bush to think, and ate eight tangerines. The first thing to do, he decided, was to find the river, because the dragon was tied somewhere along its bank. Then he thought, ""If the river flows into the ocean, I ought to be able to find it quite easily if I just walk along the beach far enough."" So my father walked until the sun rose and he was quite far from the Ocean Rocks. It was dangerous to stay near them because they might be guarded in the daytime. He found a clump of tall grass and sat down. Then he took off his rubber boots and ate three more tangerines. He could have eaten twelve but he hadn't seen any tangerines on this island and he could not risk running out of something to eat",Elementary
"My father slept all that day and only woke up late in the afternoon when he heard a funny little voice saying, ""Queer, queer, what a dear little dock! I mean, dear, dear, what a queer little rock!"" My father saw a tiny paw rubbing itself on his knapsack. He lay very still and the mouse, for it was a mouse, hurried away muttering to itself, ""I must smell tumduddy. I mean, I must tell somebody.""",Elementary
"My father waited a few minutes and then started down the beach because it was almost dark now, and he was afraid the mouse really would tell somebody. He walked all night and two scary things happened. First, he just had to sneeze, so he did, and somebody close by said, ""Is that you, Monkey?"" My father said, ""Yes."" Then the voice said, ""You must have something on your back, Monkey,"" and my father said ""Yes,"" because he did. He had his knapsack on his back. ""What do you have on your back, Monkey?"" asked the voice.",Elementary
"My father didn't know what to say because what would a monkey have on its back, and how would it sound telling someone about it if it did have something? Just then another voice said, ""I bet you're taking your sick grandmother to the doctor's."" My father said ""Yes"" and hurried on. Quite by accident he found out later that he had been talking to a pair of tortoises.",Elementary
"The second thing that happened was that he nearly walked right between two wild boars who were talking in low solemn whispers. When he first saw the dark shapes he thought they were boulders. Just in time he heard one of them say, ""There are three signs of a recent invasion. First, fresh tangerine peels were found under the wahoo bush near the Ocean Rocks. Second, a mouse reported an extraordinary rock some distance from the Ocean Rocks which upon further investigation simply wasn't there. However, more fresh tangerine peels were found in the same spot, which is the third sign of invasion. Since tangerines do not grow on our island, somebody must have brought them across the Ocean Rocks from the other island, which may, or may not, have something to do with the appearance and/or disappearance of the extraordinary rock reported by the mouse.""",Elementary
"After a long silence the other boar said, ""You know, I think we're taking all this too seriously. Those peels probably floated over here all by themselves, and you know how unreliable mice are. Besides, if there had been an invasion, I would have seen it!""",Elementary
"""Perhaps you're right,"" said the first boar. ""Shall we retire?"" Whereupon they both trundled back into the jungle.",Elementary
"Well, that taught my father a lesson, and after that he saved all his tangerine peels. He walked all night and toward morning came to the river. Then his troubles really began.",Elementary
"The river was very wide and muddy, and the jungle was very gloomy and dense. The trees grew close to each other, and what room there was between them was taken up by great high ferns with sticky leaves. My father hated to leave the beach, but he decided to start along the river bank where at least the jungle wasn't quite so thick. He ate three tangerines, making sure to keep all the peels this time, and put on his rubber boots.",Elementary
