passage,reading_level
"We returned by sun-down, and found the Loriotte at anchor, within a cable's length of the Pilgrim. The next day we were ""turned-to"" early, and began taking off the hatches, overhauling the cargo, and getting everything ready for inspection. At eight, the officers of the customs, five in number, came on board, and began overhauling the cargo, manifest, etc.",High
"During the last twenty-four hours of the passage, we beat off and on the land, making a tack about once in four hours, so that I had a sufficient opportunity to observe the working of the ship; and certainly, it took no more men to brace about this ship's lower yards, which were more than fifty feet square, than it did those of the Pilgrim, which were not much more than half the size; so much depends upon the manner in which the braces run, and the state of the blocks; and Captain Wilson, of the Ayacucho, who was afterwards a passenger with us, upon a trip to windward, said he had no doubt that our ship worked two men lighter than his brig.",High
"Tom Davis knew how to read, write, and cipher in common arithmetic; had been to the United States, and spoke English quite well. His education was as good as that of three-quarters of the Yankees in California, and his manners and principles a good deal better, and he was so quick of apprehension that he might have been taught navigation, and the elements of many of the sciences, with the most perfect ease. Old ""Mr. Bingham"" spoke very little English--almost none, and neither knew how to read nor write; but he was the best-hearted old fellow in the world. He must have been over fifty years of age, and had two of his front teeth knocked out, which was done by his parents as a sign of grief at the death of Kamehameha, the great king of the Sandwich Islands. We used to tell him that he ate Captain Cook, and lost his teeth in that way. That was the only thing that ever made him angry. He would always be quite excited at that; and say--""Aole!"" (no.) ""Me no eat Captain Cook! Me pikinini--small--so high--no more! My father see Captain Cook! Me--no!"" None of them liked to have anything said about Captain Cook, for the sailors all believe that he was eaten, and that, they cannot endure to be taunted with.--""New Zealand Kanaka eat white man;--Sandwich Island Kanaka--no. Sandwich Island Kanaka ua like pu na haole--all 'e same a' you!""",High
"As things now are, many masters are obliged to sail without knowing anything of their crews, until they get out at sea. There may be pirates or mutineers among them; and one bad man will often infect all the rest; and it is almost certain that some of them will be ignorant foreigners, hardly understanding a word of our language, accustomed all their lives to no influence but force, and perhaps nearly as familiar with the use of the knife as with that of the marline-spike. No prudent master, however peaceably inclined, would go to sea without his pistols and handcuffs. Even with such a crew as I have supposed, kindness and moderation would be the best policy, and the duty of every conscientious man; and the administering of corporal punishment might be dangerous, and of doubtful use. But the question is not, what a captain ought generally to do, but whether it shall be put out of the power of every captain, under any circumstances, to make use of, even moderate, chastisement. As the law now stands, a parent may correct moderately his child, and the master his apprentice; and the case of the shipmaster has been placed upon the same principle. The statutes, and the common law as expounded in the decisions of courts, and in the books of commentators, are express and unanimous to this point, that the captain may inflict moderate corporal chastisement, for a reasonable cause. If the punishment is excessive, or the cause not sufficient to justify it, he is answerable; and the jury are to determine, by their verdict in each case, whether, under all the circumstances, the punishment was moderate, and for a justifiable cause.",High
"With the single exception, as I am quite confident, of Mr. Ames's entertaining, but hasty and desultory work, called ""Mariner's Sketches,"" all the books professing to give life at sea have been written by persons who have gained their experience as naval officers, or passengers, and of these, there are very few which are intended to be taken as narratives of facts.",High
"Saturday, Feb. 13th. Were called up at midnight to slip for a violent north-easter, for this rascally hole of San Pedro is unsafe in every wind but a south-wester, which is seldom known to blow more than once in a half century. We went off with a flowing sheet, and hove-to under the lee of Catalina island, where we lay three days, and then returned to our anchorage.",High
"In the grey of the morning, one or two small fishing smacks peered out of the mist; and when the broad day broke upon us, there lay the low sand-hills of Cape Cod, over our larboard quarter, and before us, the wide waters of Massachusetts Bay, with here and there a sail gliding over its smooth surface. As we drew in toward the mouth of the harbor, as toward a focus, the vessels began to multiply until the bay seemed actually alive with sails gliding about in every direction; some on the wind, and others before it, as they were bound to or from the emporium of trade and centre of the bay. It was a stirring sight for us, who had been months on the ocean without seeing anything but two solitary sails; and over two years without seeing more than the three or four traders on an almost desolate coast. There were the little coasters, bound to and from the various towns along the south shore, down in the bight of the bay, and to the eastward; here and there a square-rigged vessel standing out to seaward; and, far in the distance, beyond Cape Ann, was the smoke of a steamer, stretching along in a narrow, black cloud upon the water. Every sight was full of beauty and interest. We were coming back to our homes; and the signs of civilization, and prosperity, and happiness, from which we had been so long banished, were multiplying about us. The high land of Cape Ann and the rocks and shore of Cohasset were full in sight, the lighthouses, standing like sentries in white before the harbors, and even the smoke from the chimney on the plains of Hingham was seen rising slowly in the morning air. One of our boys was the son of a bucket-maker; and his face lighted up as he saw the tops of the well-known hills which surround his native place. About ten o'clock a little boat came bobbing over the water, and put a pilot on board, and sheered off in pursuit of other vessels bound in.",High
"The supposition was that in the course of years the Indians might become so habituated to thrift and industry as to be released from supervision and safely left to their own devices. But that happy consummation had not occurred when, in 1826, Mexico succeeded in separating herself from the mother country and began her career as an independent republic, of which California was a part. Nevertheless, the greed of politicians suddenly wrought the change which was to have come as the slow development of years. By governmental decree, the Indians were declared free of obligation to the friars; the latter were stripped of their temporal powers, their funds seized under the guise of a loan, and their establishments often subjected to what was little short of pillage.",High
"Saturday, 17th. The wind was light all day, which kept us back somewhat; but a fine breeze springing up at nightfall, we were running fast in toward the land. At six o'clock we expected to have the ship hove-to for soundings, as a thick fog, coming up showed we were near them; but no order was given, and we kept on our way. Eight o'clock came, and the watch went below, and, for the whole of the first hour, the ship was tearing on, with studding-sails out, alow and aloft, and the night as dark as a pocket. At two bells the captain came on deck, and said a word to the mate, when the studding sails were hauled into the tops, or boom-ended, the after yards backed, the deep-sea-lead carried forward, and everything got ready for sounding. A man on the spritsail yard with the lead, another on the cathead with a handful of the line coiled up, another in the fore chains, another in the waist, and another in the main chains, each with a quantity of the line coiled away in his hand. ""All ready there, forward?""--""Aye, aye, sir!""--""He-e-e-ave!""--""Watch! ho! watch!"" sings out the man on the spritsail yard, and the heavy lead drops into the water. ""Watch! ho! watch!"" bawls the man on the cat-head, as the last fake of the coil drops from his hand, and ""Watch! ho! watch!"" is shouted by each one as the line falls from his hold; until it comes to the mate, who tends the lead, and has the line in coils on the quarter-deck. Eighty fathoms, and no bottom! A depth as great as the height of St. Peter's! The line is snatched in a block upon the swifter, and three or four men haul it in and coil it away. The after yards are braced full, the studding-sails hauled out again, and in a few minutes more the ship had her whole way upon her. At four bells, backed again, hove the lead, and--soundings! at sixty fathoms! Hurrah for Yankee land! Hand over hand, we hauled the lead in, and the captain, taking it to the light, found black mud on the bottom.",High
"The second morning after leaving Monterey, we were off Point Conception. It was a bright, sunny day, and the wind, though strong, was fair; and everything was in striking contrast with our experience in the same place two months before, when we were drifting off from a northwester under a fore and main spencer. ""Sail ho!"" cried a man who was rigging out a top-gallant studding-sail boom.--""Where away?""--""Weather beam, sir!"" and in a few minutes a full-rigged brig was seen standing out from under Point Conception. The studding-sail halyards were let go, and the yards boom-ended, the after yards braced aback, and we waited her coming down. She rounded to, backed her main topsail, and showed her decks full of men, four guns on a side, hammock nettings, and everything man-of-war fashion, except that there was no boatswain's whistle, and no uniforms on the quarter-deck. A short, square-built man, in a rough grey jacket, with a speaking-trumpet in hand, stood in the weather hammock nettings. ""Ship ahoy!""--""Hallo!""--""What ship is that, pray?""--""Alert.""--""Where are you from, pray?"" etc., etc. She proved to be the brig Convoy, from the Sandwich Islands, engaged in otter hunting, among the islands which lie along the coast. Her armament was from her being an illegal trader. The otter are very numerous among these islands, and being of great value, the government require a heavy sum for a license to hunt them, and lay a high duty upon every one shot or carried out of the country. This vessel had no license, and paid no duty, besides being engaged in smuggling goods on board other vessels trading on the coast, and belonging to the same owners in Oahu. Our captain told him to look out for the Mexicans, but he said they had not an armed vessel of his size in the whole Pacific. This was without doubt the same vessel that showed herself off Santa Barbara a few months before. These vessels frequently remain on the coast for years, without making port, except at the islands for wood and water, and an occasional visit to Oahu for a new outfit.",High
